"time"|"timestring"|"quote"|"title"|"author"|
"08:46"|"around 08:45"|"I started my EVA around 08:45, same as always. I got my hammer and screwdriver and started chipping the trailer’s hull."|"The Martian"|"Andy Weir"|"unknown"
"08:47"|8.47|"Just on my way to the cottage. It's, er, ..8.47. Bit misty on the roads....."|"Dirk Gently's Holistic Detective Agency "|"Douglas Adams"|"unknown"
"08:47"|8.47|"8.47. Bit misty on the roads"|"Dirk Gently's Holistic Detective Agency"|"Douglas Adams"|"unknown"
"08:55"|"five to nine"|"At five to nine, the exam room door opened and the Stones’ pediatrician walked in. Dr. John Dalton was a fellow Dan Torrance would have recognized, although not by last name. To Dan he was just Doctor John, who made the coffee at the Thursday night Big Book meeting in North Conway."|"Doctor Sleep"|"Stephen King"|"unknown"
"08:56"|"nearly nine o'clock"|"It was nearly nine o'clock and the sun was fiercer every minute.'"|"Burmese Days"|"George Orwell"|"unknown"
"08:57"|"around 9 a.m."|"I noticed things would always change around 9 a.m. local time. People usually keep the same patterns, so I figured he likes to start work around then."|"The Martian"|"Andy Weir"|"unknown"
"08:58"|"around 9 a.m."|"I noticed things would always change around 9 a.m. local time. People usually keep the same patterns, so I figured he likes to start work around then."|"The Martian"|"Andy Weir"|"unknown"
"08:59"|"around 9 a.m."|"I noticed things would always change around 9 a.m. local time. People usually keep the same patterns, so I figured he likes to start work around then."|"The Martian"|"Andy Weir"|"unknown"
"09:00"|"nine o’clock"|"At nine o’clock his secretary came and read him his appointments for the day.  When he did so this morning, though, he found him still staring at his plate with a strange expression."|"Johnny and the Bomb"|"Terry Pratchett"|"unknown"
"09:00"|"9:00 A.M."|"“The Earth was created on Sunday the 21st of October, 4004 B.C., at exactly 9:00 A.M., because God liked to get work done early in the morning while he was feeling fresh.”"|"Good Omens"|"Terry Pratchett and Neil Gaiman"|"unknown"
"09:01"|"around 9 a.m."|"I noticed things would always change around 9 a.m. local time. People usually keep the same patterns, so I figured he likes to start work around then."|"The Martian"|"Andy Weir"|"unknown"
"09:02"|"around 9 a.m."|"I noticed things would always change around 9 a.m. local time. People usually keep the same patterns, so I figured he likes to start work around then."|"The Martian"|"Andy Weir"|"unknown"
"09:04"|9.04|"In the light of a narrow-beam lantern, Pierce checked his watch. It was 9.04."|"The Great Train Robbery"|"Michael Crichton"|"unknown"
"09:05"|"between 9 and 9:10"|"I did some minor realignment to get seventeen pics between 9 and 9:10. He showed up in one of them."|"The Martian"|"Andy Weir"|"unknown"
"09:06"|"between 9 and 9:10"|"I did some minor realignment to get seventeen pics between 9 and 9:10. He showed up in one of them."|"The Martian"|"Andy Weir"|"unknown"
"09:07"|"between 9 and 9:10"|"I did some minor realignment to get seventeen pics between 9 and 9:10. He showed up in one of them."|"The Martian"|"Andy Weir"|"unknown"
"09:08"|"between 9 and 9:10"|"I did some minor realignment to get seventeen pics between 9 and 9:10. He showed up in one of them."|"The Martian"|"Andy Weir"|"unknown"
"09:09"|"between 9 and 9:10"|"I did some minor realignment to get seventeen pics between 9 and 9:10. He showed up in one of them."|"The Martian"|"Andy Weir"|"unknown"
"09:10"|"9:10"|"I did some minor realignment to get seventeen pics between 9 and 9:10. He showed up in one of them."|"The Martian"|"Andy Weir"|"unknown"
"09:15"|"Quarter past nine"|"The breakfast crowd at the Sunspot is clearing out. Soon the woman in charge, no longer sleepy-eyed, will take in the signboard with the breakfast specials and replace it with the one for the lunch specials. Quarter past nine and the smoke billowing above the courthouse seems to be thinning. Billy is starting to wonder if there’s been a glitch."|"Billy Summers"|"Stephen King"|"unknown"
"09:20"|"Nine-twenty"|"Grant knew animals often performed such mating rituals for hours at a time. They went without food, they paid attention to nothing else. . . .  He glanced at his watch. Nine-twenty."|"Jurassic Park"|"Michael Crichton"|"unknown"
"09:30"|"nine-thirty"|"Grant opened his eyes. Brilliant blue light was streaming into the building through the bars of the gate. Quartz light: the power was back on! Groggily, he looked at his watch. It was just nine-thirty. He’d been asleep only a couple of minutes."|"Jurassic Park"|"Michael Crichton"|"unknown"
"09:35"|"twenty-five to ten"|"Tess looked at her watch and was astounded to see it was only twenty-five to ten. It seemed that she had fed Fritzy double rations and left the house four years ago. Maybe five, She thought she heard an approaching engine, then decided she didn’t."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"09:37"|"thirty-seven minutes past nine"|"It comprised all that was required of the servant, from eight in the morning, exactly at which hour Phileas Fogg rose, till half-past eleven, when he left the house for the Reform Club - all the details of service, the tea and toast at twenty-three minutes past eight, the shaving-water at thirty-seven minutes past nine, and the toilet at twenty minutes before ten."|"Around the World in 80 days"|"Jules Verne"|"unknown"
"09:40"|"twenty minutes before ten"|"It comprised all that was required of the servant, from eight in the morning, exactly at which hour Phileas Fogg rose, till half-past eleven, when he left the house for the Reform Club—all the details of service, the tea and toast at twenty-three minutes past eight, the shaving-water at thirty-seven minutes past nine, and the toilet at twenty minutes before ten."|"Around the World in 80 days"|"Jules Verne"|"unknown"
"09:45"|"a quarter to ten"|"At a quarter to ten on the morning of August 15th, Leandro crossed into the town of Troy. His stomach was tight with anticipation and — let’s face it, folks — a tingle of fear. His skin felt cold."|"The Tommyknockers"|"Stephen King"|"unknown"
"09:45"|"quarter to ten"|"She looked at the clock on the night table and saw it was quarter to ten. She’d slept another two hours. For a moment she was alarmed; maybe she’d suffered a concussion or a fracture after all."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"09:53"|"seven minutes to ten"|"People did not speak to her in such a manner. Her father was a lawyer. It was seven minutes to ten."|"Carrie"|"Stephen King"|"unknown"
"10:00"|"ten o’clock"|"“It was at ten o’clock to-day that the first of all Time Machines began its career. I gave it a last tap, tried all the screws again, put one more drop of oil on the quartz rod, and sat myself in the saddle. I suppose a suicide who holds a pistol to his skull feels much the same wonder at what will come next as I felt then.”"|"The Time Machine"|"H.G. Wells"|"unknown"
"10:00"|"ten o’clock"|"Billy is ready to go early the next morning, but Bucky asks him to wait until ten o’clock because he has an errand to run. While he does it, Billy visits the summerhouse one final time. He takes the picture of the hedge animals off the wall and carries it to the end of the path.  He looks out over the gorge for a minute or two, across to the place where the reputedly haunted hotel once stood."|"Billy Summers"|"Stephen King"|"unknown"
"10:00"|"10 o’clock"|"That first day was a madhouse, all right. I ran the Carolina Spin with Lane until 10 o’clock, then alone for the next ninety minutes while he rushed around the park putting out opening day fires."|"Joyland"|"Stephen King"|"unknown"
"10:00"|"ten o’clock"|"By ten o’clock she was ravenous. She cooked herself a huge brunch and ate every bite. Then she took her movie back to Blockbuster and asked if they had Kiss of Death. They didn’t, but after ten minutes of browsing, she settled on a substitute called Last House on the Left."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"10:00"|"ten o’clock in the morning"|"Frodo woke and found himself lying in bed… ‘Where am I, and what is the time?’ he said aloud to the ceiling. ‘In the House of Elrond, and it is ten o’clock in the morning.’ said Gandalf]. ‘It is the morning of October the twenty-fourth, if you want to know.’"|"The Fellowship of the Ring"|"J.R.R Tolkien"|"unknown"
"10:03"|"10:03 a.m."|"Matthew Emery conceded the election at 10:03 a.m. on November 8, 2028. West eventually carried every state except Virginia. It was the biggest upset in a national election since 1948."|"The Truth Machine"|"James L. Halperin"|"unknown"
"10:13"|"thirteen minutes past ten"|"""By the bye,"" said the first, ""I was able this morning to telegraph the very words of the order to my cousin at seventeen minutes past ten."" ""And I sent it to the Daily Telegraph at thirteen minutes past ten."" ""Bravo, Mr. Blount!"" ""Very good, M. Jolivet."""|"Michel Strogoff"|"Jules Verne"|"unknown"
"10:14"|"10:14 a.m."|"Now, at 10:14 a.m., seated in his office with six colleagues who had become inexplicably uncomfortable in his presence,"|"The Truth Machine"|"James L. Halperin"|"unknown"
"10:15"|"quarter past ten"|"When she finally struggled awake—headachey, miserable, feeling hungover—the other half of the bed was empty. Bob had turned his clock back around, and she saw it was quarter past ten. It was the latest she’d slept in years, but of course she hadn’t dropped off until first light, and such sleep as she’d gotten was populated with horrors."|"Full Dark, No Stars"|"Stephen King"|"unknown"
"10:17"|"seventeen minutes past ten"|"""By the bye,"" said the first, ""I was able this morning to telegraph the very words of the order to my cousin at seventeen minutes past ten."" ""And I sent it to the Daily Telegraph at thirteen minutes past ten.""n ""Bravo, Mr. Blount!"" ""Very good, M. Jolivet."" ""I will try and match that!"""|"Michel Strogoff"|"Jules Verne"|"unknown"
"10:23"|"10:23"|"At 10:23:47, the Reactor 2 safety subsystem reported a drop in primary sodium coolant pressure and initiated a safe shutdown of the reactor."|"Saturn Run"|"John Sandford"|"unknown"
"10:30"|"10:30"|"So ended the first day of testimony. Lezar adjourned the proceedings until the next morning at 10:30. Pete himself would be the only remaining witness."|"The Truth Machine"|"James L. Halperin"|"unknown"
"10:40"|"It’s twenty to eleven"|"When fifteen minutes have passed and the bogus DPW truck hasn’t returned, Billy decides they have either moved on to another part of the city, maybe to check out the house on Evergreen Street, or have gone back to the McMansion to await further orders from Nick. He closes the curtain, shutting out the view, and looks at his watch. It’s twenty to eleven. How time flies when you’re having fun, he thinks."|"Billy Summers"|"Stephen King"|"unknown"
"10:45"|"quarter to eleven"|"Ramona Norville turned out to be a broad-shouldered, heavy-breasted, jovial woman of sixty or so with flushed cheeks, a Marine haircut, and a take-no-prisoners handshake. She was waiting for Tess outside the library, in the middle of the parking space reserved for Today’s Author of Note. Instead of wishing Tess a very good morning (it was quarter to eleven), or complimenting her on her earrings (diamond drops, an extravagance reserved for her few dinners out and engagements like this), she asked a man’s question: had Tess come by the 84?"|"Full Dark, No Stars"|"Stephen King"|"unknown"
"10:45"|"quarter to eleven"|"They reached King's Cross at a quarter to eleven. Mr Weasley dashed across the road to get trolleys for their trunks and they all hurried into the station."|"Harry Potter and the Chamber of Secrets "|"J.K.Rowling"|"unknown"
"10:59"|"one minute to eleven"|"Harry grunted in his sleep and his face slid down the window an inch or so, making his glasses still more lopsided, but he did not wake up. An alarm clock, repaired by Harry several years ago, ticked loudly on the sill, showing one minute to eleven."|"Harry Potter and the Half-Blood Prince"|"J. K. Rowling"|"unknown"
"11:00"|"11 o’clock"|"A scarlet steam engine was waiting next to a platform packed with people. A sign overhead said Hogwarts Express, 11 o’clock."|"Harry Potter and the Philosopher’s Stone"|"J.K. Rowling"|"unknown"
"11:00"|"eleven"|"She quit at eleven. Fuck it. She went around the house to the shed, got the spade and shovel, paused, and added a crowbar. She started out of the shed, went back, and took a screwdriver and an adjustable wrench from the toolbox."|"The Tommyknockers"|"Stephen King"|"unknown"
"11:00"|"11:00"|"Sue had only a driver’s permit, but she took the keys to her mother’s car from the pegboard beside the refrigerator and ran to the garage. The kitchen clock read exactly 11:00."|"Carrie"|"Stephen King"|"unknown"
"11:00"|"eleven o’clock"|"The Delacours arrived the following morning at eleven o’clock. Harry, Ron, Hermione and Ginny were feeling quite resentful towards Fleur’s family by this time, and it was with an ill grace that Ron stumped back upstairs to put on matching socks, and Harry attempted to flatten his hair."|"Harry Potter and the Deathly Hallows"|"JK Rowling"|"unknown"
"11:00"|"eleven o’clock"|"The name of your supposed ghost is Linda Gray, and she was from Florence. That’s over South Carolina way. She and her boyfriend—if that’s what he was; the cops found no trace of him—spent her last night on earth at the Luna Inn, half a mile south of here along the beach. They entered Joyland around eleven o’clock the next day. "|"Joyland"|"Stephen King"|"unknown"
"11:00"|"eleven o’clock"|"“I just take the train from platform nine and three-quarters at eleven o’clock,” he read. "|"Harry Potter and the Sorcerer’s Stone"|"J.K. Rowling"|"unknown"
"11:00"|"eleven o'clock"|"At eleven o'clock the phone rang, and still the figure did not respond, any more than it had responded when the phone had rung at twenty-five to seven, and again for ten minutes continuously starting at five to seven..."|"The Long Dark Tea-Time of the Soul"|"Douglas Adams"|"unknown"
"11:05"|"five past eleven"|"Sansom arrived in a Town Car at five past eleven. Local plates, which meant he had ridden up most of the way on the train. Less convenient for him, but a smaller carbon footprint than driving all the way, or flying. Every detail mattered, in a campaign."|"Gone Tomorrow"|"Lee Child"|"unknown"
"11:08"|"11:08"|"“This is my first pass,” Wilson said. “East to west, at 11:08. We’re looking from the left-wing camera which is running at ninety-six frames per second. As you can see, my altitude is falling rapidly. Straight ahead is the main street of the target …”"|"The Andromeda Strain"|"Michael Crichton"|"unknown"
"11:10"|"Ten past eleven"|"She backed down the driveway, checked for traffic, and turned toward the turnpike. Ten past eleven. Plenty of time. That’s what she thought then."|"If it Bleeds"|"Stephen King"|"unknown"
"11:15"|"quarter past eleven"|"A stretch of curb in front of Gerard Tower has been stenciled AUTHORIZED PARKING ONLY. At quarter past eleven a truck with a big sombrero on the side pulls up there. Below the sombrero, JOSE’S EATS. And below that, TODOS COMEN! People start leaving the building, trundling toward the truck like ants drawn to sugar."|"Billy Summers"|"Stephen King"|"unknown"
"11:20"|11.2|"Sweeney pointed to the clock above the bar, held in the massive and indifferent jaws of a stuffed alligator head. The time was 11.20."|"American Gods"|"Neil Gaiman"|"unknown"
"11:29"|"twenty-nine minutes after eleven, a.m."|"You are four minutes too slow. No matter; it's enough to mention the error. Now from this moment, twenty-nine minutes after eleven, a.m., this Wednesday, 2nd October, you are in my service."|"Around the World in Eighty Days"|"Jules Verne"|"unknown"
"11:30"|"11:30"|"Watney: Roger. Take a pic at 11:30, if you haven’t heard from me by then."|"The Martian"|"Andy Weir"|"unknown"
"11:38"|"11:38"|"At 11:38, she left her desk and walked to the side door of the auditorium, arriving ten minutes before noon."|"The Circle"|"Dave Eggers"|"unknown"
"11:40"|"11.40am"|"Did escape occur to him? … But the door was locked, and the window heavily barred with iron rods. He sat down again, and drew his journal from his pocket. On the line where these words were written, ""21st December, Saturday, Liverpool,"" he added, ""80th day, 11.40am,"" and waited."|"Around the World in Eighty Days"|"Jules Verne"|"unknown"
"11:41"|"11:41 a.m."|"Noon on Sol 504 will be 11:41 a.m. this Wednesday here in Houston."|"The Martian"|"Andy Weir"|"unknown"
"11:45"|"morning at 11:45"|"That morning at 11:45, word had reached Pete and David that the jury had rendered a verdict. In fact, unknown to either of them, it had been more like a negotiation—among the five jurors, Judge Lezar, and eventually Carlton Shaw."|"The Truth Machine"|"James L. Halperin"|"unknown"
"11:48"|"ten minutes before noon"|"At 11:38, she left her desk and walked to the side door of the auditorium, arriving ten minutes before noon."|"The Circle"|"Dave Eggers"|"unknown"
"11:55"|"five to twelve"|"It’s five to twelve Hermione, three turns should suffice. Good luck. Dumbledore stepped out and lifted his wand to magically seal the door"|"Harry Potter and the Prisoner of Azkaban"|"J.K. Rowling"|"unknown"
"11:58"|11.58|"And when you go down the steps, it's always 11.58 on the morning of September ninth, 1958."|"11/22/63"|"Stephen King"|"unknown"
"11:59"|"around noon"|"Mindy said, “he should get there on Sol 504. Sol 505 if he takes his time. He always drives in the early morning, finishing around noon.”"|"The Martian"|"Andy Weir"|"unknown"
"12:00"|"noon"|"Holly tries to ignore the headache her mother’s calls — and this call in particular — almost always bring on. She assures her mother that yes, she will be there on Sunday to help, and yes, she will be there by noon, so they can eat one more meal as a family."|"If it Bleeds"|"Stephen King"|"unknown"
"12:00"|"noon"|"The next event scheduled was for noon on the day after the collapse. It read, Good news, everyone! Little Breannlyne has the chickenpox! Potluck Pox party here at noon. No peanuts. Let’s get that immunity!"|"Dungeon Crawler Carl"|"Matt Dinniman"|"unknown"
"12:01"|"around noon"|"Mindy said, “he should get there on Sol 504. Sol 505 if he takes his time. He always drives in the early morning, finishing around noon.”"|"The Martian"|"Andy Weir"|"unknown"
"12:02"|"two minutes past twelve"|"At two minutes past twelve the door opens and two men come into the lobby. One is tall with black hair combed in a 50’s pompadour. The other is short and bespectacled. Both are wearing suits."|"Billy Summers"|"Stephen King"|"unknown"
"12:04"|"four minutes past twelve"|"At four minutes past twelve, Frank Macintosh and Paulie Logan enter the lobby dressed in their suits. There are handshakes all around. Fran’s pompadour appears to have had an oil change. “Need to check out?” “Taken care of.” “Then let’s go.”"|"Billy Summers"|"Stephen King"|"unknown"
"12:10"|"ten past noon"|"I stashed my basket of dirty rags and Turtle Wax by the exit door in the arcade. It was ten past noon, but right then food wasn’t what I was hungry for. I walked slowly along the track and into Horror House."|"Joyland"|"Stephen King"|"unknown"
"12:12"|"12:12"|"Were you on Carlin Street at approximately 12:12 when Carietta White came out of the First Congregational Church on that street?"|"Carrie"|"Stephen King"|"unknown"
"12:21"|"12:21 p.m."|"Noon on Sol 505 will be 12:21 p.m. on Thursday."|"The Martian"|"Andy Weir"|"unknown"
"12:23"|"12:23 P.M."|"In Cedar Rapids, Iowa, 12:23 P.M. local time, a bedridden comet- and asteroid-hunter named Jenny Wright found the needle in an astronomical haystack dated February 9."|"Saturn Run"|"John Sandford"|"unknown"
"12:28"|12.28|"The DRINK CHEER-UP COFFEE wall clock read 12.28."|"11/22/63"|"Stephen King"|"unknown"
"12:45"|"a quarter to one"|"That Sunday was a picture-book summer day in Maine: clear, bright, warm. At a quarter to one, Ruth McCausland, dressed in a pretty blue summer frock, left her house for the last time."|"The Tommyknockers"|"Stephen King"|"unknown"
"12:45"|"12:45"|"The boy handed in a dispatch. The Professor closed the door again, and after looking at the direction, opened it and read aloud. ""Look out for D. He has just now, 12:45, come from Carfax hurriedly and hastened towards the South. He seems to be going the round and may want to see you: Mina"""|"Dracula "|"Bram Stoker"|"unknown"
"13:00"|"one o'clock pee em"|"""One o'clock pee em! Hello, Insert Name Here!"" Said by the Disorganizer"|"Jingo "|"Terry Pratchett"|"unknown"
"13:00"|"thirteen"|"It was a bright cold day in April, and the clocks were striking thirteen."|"Nineteen Eighty-Four "|"George Orwell"|"unknown"
"13:02"|"about one o'clock"|"At about one o'clock the overseer arrived and told them he had no jobs for them"|"A Clergyman's Daughter"|"George Orwell"|"unknown"
"13:09"|"nine minutes past one"|"At nine minutes past one, a pair of horses approached (not from the city, from which direction Krieger had expected her to come, but from the Desert, which lay, vast and largely uncharted, out to the West and South-West of the city.)"|"Tortured Souls: The Legend of Primordium"|"Clive Barker"|"unknown"
"13:13"|"thirteen minutes past one"|"""There it is! There it is!"" shouted the Professor. ""Now for the centre of the globe!"" he added in Danish. I looked at Hans. ""Forüt!"" was his tranquil answer. ""Forward!"" replied my uncle. It was thirteen minutes past one."|"Journey to the Centre of the Earth"|"Jules Verne"|"unknown"
"13:17"|"1:17 P.M."|"At 1:17 P.M., ship’s time, Dr. Johansson’s service egg was struck directly by a large slug of radiator melt, several hundred kilograms, traveling at tens of meters per second."|"Saturn Run"|"John Sandford"|"unknown"
"13:20"|"twenty minutes past one"|"Today this Vampire is limit to the powers of man, and till sunset he may not change. It will take him time to arrive here, see it is twenty minutes past one, and there are yet some times before he can hither come, be he never so quick."|"Dracula"|"Bram Stoker"|"unknown"
"13:30"|"13:30"|"At 13:30 my ruination occurred, though I didn’t realize it at the time."|"The Martian"|"Andy Weir"|"unknown"
"13:32"|"one ... thirty-two"|"At the third stroke it will be one ... thirty-two ... and twenty seconds. 'Beep ... beep ... beep.' Ford Prefect suppressed a little giggle of evil satisfaction, realized that he had no reason to suppress it, and laughed out loud, a wicked laugh."|"So Long, and Thanks for All the Fish"|"Douglas Adams"|"unknown"
"13:33"|"one ... thirty-three"|"He waited for the green light to show and then opened the door again on to the now empty cargo hold.'... one ... thirty-three ... and fifty seconds.' Very nice."|"So Long, and Thanks for All the Fish"|"Douglas Adams"|"unknown"
"13:34"|"one ... thirty-four"|"'At the third stroke it will be ...' He tiptoed out and returned to the control cabin. '... one ... thirty-four and twenty seconds.' The voice sounded as clear as if he was hearing it over a phone in London, which he wasn't, not by a long way."|"So Long, and Thanks for All the Fish"|"Douglas Adams"|"unknown"
"13:34"|"one ... thirty ... four"|"He then went and had a last thorough examination of the emergency suspended animation chamber, which was where he particularly wanted it to be heard. 'At the third stroke it will be one ... thirty ... four ... precisely.'"|"So Long, and Thanks for All the Fish"|"Douglas Adams"|"unknown"
"13:45"|"145"|"Watney: 145 holes today. 357 total."|"The Martian"|"Andy Weir"|"unknown"
"13:50"|"Ten to two"|"She had to get out of this goddam camper. It might be the biggest, luxiest one in the world, but right now it felt the size of a coffin. She made her way to the door, holding onto things to keep her balance. She glanced at the clock on the dashboard before she went out. Ten to two. Everything had happened in just twenty minutes. Incredible."|"Doctor Sleep"|"Stephen King"|"unknown"
"13:59"|"One ... fifty-nine …"|"For twenty minutes he sat and watched as the gap between the ship and Epun closed, as the ship's computer teased and kneaded the numbers that would bring it into a loop around the little moon, and close the loop and keep it there, orbiting in perpetual obscurity. 'One ... fifty-nine …'"""|"So Long, and Thanks for All the Fish"|"Douglas Adams"|"unknown"
"14:00"|"2:00 p.m."|"We would be proud if you would join us at 2:00 p.m. on June 16 at FutureProbe, our annual meeting in Cambridge, Massachusetts, to accept the award."|"The Truth Machine"|"James L. Halperin"|"unknown"
"14:13"|"two ... thirteen"|"At the third stroke, it will be two ... thirteen ... and fifty seconds.'"|"So Long, and Thanks for All the Fish"|"Douglas Adams"|"unknown"
"14:19"|"two-nineteen P.M."|"Andrea Mitchell appears on a split screen. “Chet, we understand from a source at Homeland Security that the explosion happened at two-nineteen P.M. I don’t know how the authorities can pinpoint the time that exactly, but apparently they can.”"|"If it Bleeds"|"Stephen King"|"unknown"
"14:30"|"2:30"|"So I opened the door again, got out a piece of paper and a thumbtack, and wrote: Out briefly. Back for appointment at 2:30. Dresden That done, I went to the stairs and started down. I rarely use the elevator, even though I’m on the fifth floor. Like I said, I don’t trust machines. They’re always breaking down on me just when I need them"|"Storm Front"|"Jim Butcher"|"unknown"
"14:30"|"half-past two"|"It was half-past two o'clock when the knock came. I took my courage a deux mains and waited. In a few minutes Mary opened the door, and announced ""Dr. Van Helsing""."|"Dracula "|"Bram Stoker"|"unknown"
"14:45"|"Quarter to three"|"He glanced down at his watch. He had been smiling as he stroked her awake, and was smiling now. “Quarter to three. I sat in my stupid old motel room for almost two hours after we talked, trying to convince myself that what I was thinking couldn’t be true. Only I didn’t get where I am by dodging the truth.”"|"Full Dark, No Stars"|"Stephen King"|"unknown"
"14:54"|"About 2.55"|"In the end, it was the Sunday afternoons he couldn’t cope with, and that terrible listlessness that starts to set in about 2.55, when you know you’ve had all the baths you can usefully have that day, that however hard you stare at any given paragraph in the newspaper you will never actually read it, or use the revolutionary new pruning technique it describes, and that as you stare at the clock the hands will move relentlessly on to four o’clock, and you will enter the long dark teatime of the soul."|"Life, the universe and everything "|"Douglas Adams"|"unknown"
"15:00"|"three"|"At three that afternoon it was Peter who raised her from the semidaze in which she had been working, making her aware she was two damn-nears: damn-near starving and damn-near exhausted."|"The Tommyknockers"|"Stephen King"|"unknown"
"15:00"|"It’s three o’clock"|"The little velociraptor opened her jaws and hissed at Grant, in a posture of sudden intense fury. “Fascinating,” Grant said. “Can I stay and play with her?” Tim said. “Not right now,” Ed Regis said, glancing at his watch. “It’s three o’clock, and it’s a good time for a tour of the park itself, so you can see all the dinosaurs in the habitats we have designed for them.”"|"Jurassic Park"|"Michael Crichton"|"unknown"
"15:00"|"three o’clock"|"“And now it was three o’clock. The Antichrist had been on Earth for fifteen hours, and one angel and one demon had been drinking solidly for three of them.”"|"Good Omens"|"Terry Pratchett, Neil Gaiman"|"unknown"
"15:00"|"afternoon at 3:00"|"Theo-Soc met every weekday afternoon at 3:00 in a large-windowed classroom on the second floor of Memorial Hall."|"The Truth Machine"|"James L. Halperin"|"unknown"
"15:04"|"four minutes past three"|"He saw the clock in the town-hall tower standing at four minutes past three on that hot and windless late-July afternoon."|"The Tommyknockers"|"Stephen King"|"unknown"
"15:05"|"3:05 P.M."|"For one moment Ruth could see the bones of the bats standing out clearly, as if in an X-ray picture. Then all the green turned black. It was 3:05 P.M."|"The Tommyknockers"|"Stephen King"|"unknown"
"15:13"|"3:13"|"George checked his watch. It was 3:13. He reached for the pocket in his coat, the coat Edie was still wearing. He found the dragon's head."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"15:15"|"three-fifteen"|"The boss had had something rather more spectacular than a bowel movement; at three-fifteen that day he had done something in his pants that was the equivalent of a shit A-bomb."|"The Tommyknockers"|"Stephen King"|"unknown"
"15:15"|"quarter past three"|"Gordon was alone. He wandered back to the door. The strawberry-nosed man glanced over his shoulder, caught Gordon's eye, and moved off, foiled. He had been on the point of slipping Edgar Wallace into his pocket. The clock over the Prince of Wales struck a quarter past three."|"Keep the Aspidistra Flying"|"George Orwell"|"unknown"
"15:16"|1516|"The Nimrod rendezvoused with the light aircraft at 1516 GMT."|"The Crow Road"|"Iain Banks"|"unknown"
"15:20"|"3:20"|"He checked his watch. Only 3:20, but that was close enough for government work. Claudette Albertson surprised him. “No, it’s Mr. Hayes, right down here on the first floor with us.” “Are you sure?” Dan had played a game of checkers with Charlie Hayes just that afternoon, and for a man with acute myelogenous leukemia, he’d seemed as lively as a cricket."|"Doctor Sleep"|"Stephen King"|"unknown"
"15:23"|"three twenty-three"|"Three twenty-three! Is that all? Doesn't time - no, I've already said that, thought that. I sit and watch the seconds change on the watch. I used to have a limited edition Rolex worth the price of a new car but I lost it."|"Espedair Street"|"Iain Banks"|"unknown"
"15:23"|"three twenty-three"|"Three twenty-three! Is that all? Doesn't time - no, I've already said that, thought that. I sit and watch the seconds change on the watch. I used to have a limited edition Rolex worth the price of a new car but I lost it. It was present from...Christine? No, Inez. She got fed up with me always having to ask other people what the time was; embarrassed on my behalf."|"Espedair Street "|"Iain Banks"|"unknown"
"15:29"|"nearly half-past three"|"""Good heavens!"" she said, ""it's nearly half-past three. I must fly. Don't forget about the funeral service,"" she added, as she put on her coat. ""The tapers, the black coffin in the middle of the aisle, the nuns in their white-winged coifs, the gloomy chanting, and the poor cowering creature without any teeth, her face all caved in like an old woman's, wondering whether she wasn't really and in fact dead - wondering whether she wasn't already in hell. Goodbye."""|"Nuns at Luncheon"|"Aldous Huxley"|"unknown"
"15:30"|"half-past three"|"There wasn’t the faintest trace of writing on any of them, not even Auntie Mabel’s Birthday, or dentist, half-past three."|"Harry Potter and the Chamber of Secrets"|"J.K. Rowling"|"unknown"
"15:31"|"3:31"|"George checked his watch. It read 3:31."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"15:33"|"three thirty-three"|"I picked up my briefcase, glancing at my watch again as I did so. Three thirty-three."|"11/22/63"|"Stephen King"|"unknown"
"15:37"|15.37|"The explosion was now officially designated an ""Act of God"". But, thought Dirk, what god? And why? What god would be hanging around Terminal Two of Heathrow Airport trying to catch the 15.37 flight to Oslo?"|"The Long Dark Tea Time of the Soul"|"Douglas Adams"|"unknown"
"15:39"|"three thirty-nine"|"I lived two lives in late 1965 and early 1963, one in Dallas and one in Jodie. They came together at three thirty-nine in the afternoon of April 10."|"11/22/63"|"Stephen King"|"unknown"
"15:41"|"15:41"|"At 15:41 GMT, the Cessna's engine began to cut out and the plane - presumably out of fuel - began to lose altitude"|"The Crow Road"|"Iain Banks"|"unknown"
"15:42"|"3:42"|"He looked at his watch: 3:42. They’d be in there until four thirty at least. He didn’t know what he was going to do. He turned away and leaned back against the building."|"Stoneheart"|"Charlie Fletcher"|"unknown"
"15:45"|"3:45pm"|"I opened my notebook, flipped almost to the end before I found a blank page, and wrote October 5th, 3:45pm, Dunning to Longview Cem, puts flowers on parents’ (?) graves. Rain."|"11:22:63"|"Stephen King"|"unknown"
"15:45"|"3.45pm"|"I opened my notebook, flipped almost to the end before I found a blank page, and wrote ""October 5th, 3.45pm, Dunning to Longview Cem, puts flowers on parents' (?) graves. Rain."" I had what I wanted."|"11/22/63"|"Stephen King"|"unknown"
"15:53"|"seven minutes to four"|"It was like the clouds lifting away from the sun. Jodie glanced at Reacher. He glanced at the clock. Seven minutes to four. Less than three hours to go."|"Tripwire"|"Lee Child"|"unknown"
"15:56"|"four minutes to four"|"Four minutes to four. Newman sighed again, lost in thought."|"Tripwire"|"Lee Child"|"unknown"
"15:57"|"357"|"Watney: 145 holes today. 357 total."|"The Martian"|"Andy Weir"|"unknown"
